report_id,operator,engaged,incident_month,municipality,state,metro,version,severity
30270-13155,Waymo LLC,True,2025-11-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13129,Waymo LLC,True,2025-11-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13090,Waymo LLC,True,2025-11-01,Atlanta,GA,,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13088,Waymo LLC,True,2025-11-01,Atlanta,GA,,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13328,Waymo LLC,True,2025-12-01,Venice,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13254,Waymo LLC,True,2025-11-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13251,Waymo LLC,True,2025-11-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13250,Waymo LLC,True,2025-11-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13163,Waymo LLC,True,2025-11-01,Tempe,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13310,Waymo LLC,True,2025-12-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13373,Waymo LLC,True,2025-11-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13443,Waymo LLC,True,2025-12-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13447,Waymo LLC,True,2025-12-01,Brisbane,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13442,Waymo LLC,True,2025-12-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13399,Waymo LLC,True,2025-12-01,Austin,TX,Austin,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13388,Waymo LLC,True,2025-12-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Minor W/O Hospitalization
30270-13402,Waymo LLC,True,2025-12-01,Santa Monica,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13396,Waymo LLC,True,2025-12-01,Phoenix,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
